RA,DEC,PSF_Fit_Mag,psf flux,PSF_Fit_Mag_Err,AIRMASS,DATE-OBS,space mag,Space Flux,Space err,Air ext,air err
302.96325,34.4131034,14.5740641960144,1.48038379208034E-06,0.114279077451875,1.13952108710124,2025-10-13T15:43:19,14.4715072981753,1.62703569441921E-06,0.159859920935925,0.102556897839112,0.0455808434840496
302.96325,34.4131034,14.3995603209968,1.74E-06,0.0654582261419562,2.81492425599126,2025-10-15T19:02:31,14.1462171379576,2.19539739635807E-06,0.178055196381606,0.253343183039213,0.11259697023965
302.96325,34.4131034,14.2467509963989,2.001241965944E-06,0.0683564345809944,1.10559709021798,2025-10-16T14:53:04,14.1472472582793,2.19331544407352E-06,0.112580318189714,0.0995037381196182,0.0442238836087192
302.96325,34.4131034,14.1366495292664,2.21482893347143E-06,0.113156682243959,1.10770845974702,2025-10-19T14:21:15,14.0369557678892,2.42782675357927E-06,0.15746502063384,0.0996937613772318,0.0443083383898808
302.96325,34.4131034,14.2300916511536,2.03218545913368E-06,0.103854648423865,1.16802159530228,2025-10-20T13:59:25,14.1249697075764,2.23878360055019E-06,0.150575512235956,0.105121943577205,0.0467208638120912
302.96325,34.4131034,14.5396829376221,1.52801221122664E-06,0.191179385937817,1.08411370226322,2025-10-23T14:33:15,14.4421127044184,1.6716868194068E-06,0.234543934028346,0.0975702332036898,0.0433645480905288
302.96325,34.4131034,14.5608428581238,1.49852108040465E-06,0.0719050575389739,1.19674894729516,2025-10-24T15:32:45,14.4531354528672,1.65480116835675E-06,0.11977501543078,0.107707405256564,0.0478699578918064
302.96325,34.4131034,14.2517660202026,1.99201952970125E-06,0.0864636487296842,1.01981166768039,2025-10-26T13:00:50,14.1599829701114,2.16773810575735E-06,0.1272561154369,0.0917830500912351,0.0407924667072156
302.96325,34.4131034,14.1300805729126,2.23E-06,0.0667216867549908,1.50211030266926,2025-10-27T17:32:41,13.9948906456724,2.52373494788647E-06,0.126806098861761,0.135189927240233,0.0600844121067704
302.96325,34.4131034,13.9234185714722,2.69545801408514E-06,0.234577555447312,1.53917630596858,2025-10-28T16:39:00,13.784892703935,3.06226604205923E-06,0.296144607686055,0.138525867537172,0.0615670522387432
302.96325,34.4131034,14.0961406539917,2.29902523564486E-06,0.0492229828688842,1.77904890003023,2025-10-29T16:54:14,13.936026252989,2.66433910350244E-06,0.120384938870093,0.160114401002721,0.0711619560012092
302.96325,34.4131034,14.1772480377197,2.13353997743963E-06,0.0689897636901574,1.14187051254738,2025-10-30T14:37:14,14.0744796915904,2.3453524899902E-06,0.114664584192053,0.102768346129264,0.0456748205018952
302.96325,34.4131034,14.2723175437927,1.95466790694655E-06,0.055813687813578,1.24117583462376,2025-10-31T15:20:41,14.1606117186766,2.16648313456914E-06,0.105460721198528,0.111705825116138,0.0496470333849504
